Date Market_Cap Volume Open Close
2023-03-26 $534,960,802,333 $15,053,754,845 $27,670 N/A
2023-03-25 $533,634,255,119 $21,551,272,690 $27,595 $27,670
2023-03-24 $549,578,396,179 $20,360,807,195 $28,460 $27,595
2023-03-23 $530,515,158,754 $35,394,833,934 $27,449 $28,460
2023-03-22 $545,917,428,270 $34,430,928,756 $28,264 $27,449
2023-03-21 $538,935,400,013 $55,315,948,514 $27,929 $28,264
2023-03-20 $546,680,822,196 $46,394,763,656 $28,187 $27,929
2023-03-19 $523,262,280,970 $46,473,651,091 $27,108 $28,187
2023-03-18 $530,038,219,067 $64,617,615,618 $27,467 $27,108
2023-03-17 $486,375,597,563 $60,688,056,875 $25,161 $27,467
2023-03-16 $472,833,547,484 $63,107,437,929 $24,471 $25,161
2023-03-15 $478,406,045,310 $70,714,394,276 $24,759 $24,471
2023-03-14 $466,509,005,563 $66,799,159,802 $24,179 $24,759
2023-03-13 $425,816,781,284 $36,639,901,909 $22,096 $24,179
2023-03-12 $394,742,728,282 $37,746,654,240 $20,522 $22,096
2023-03-11 $390,202,255,053 $51,593,890,225 $20,195 $20,522
2023-03-10 $392,841,773,384 $40,173,833,478 $20,376 $20,195
2023-03-09 $419,694,984,165 $28,493,032,425 $21,713 $20,376
2023-03-08 $427,994,888,567 $27,780,357,943 $22,217 $21,713
2023-03-07 $432,758,824,798 $21,124,920,006 $22,415 $22,217
2023-03-06 $433,081,135,066 $16,080,097,920 $22,422 $22,415
2023-03-05 $431,837,491,811 $13,392,431,932 $22,348 $22,422
2023-03-04 $431,727,585,101 $34,239,649,135 $22,367 $22,348
2023-03-03 $453,067,155,321 $27,432,755,758 $23,464 $22,367
2023-03-02 $456,417,315,967 $32,507,897,259 $23,634 $23,464
2023-03-01 $446,010,055,988 $25,534,054,046 $23,156 $23,634
2023-02-28 $454,364,917,719 $28,832,423,816 $23,518 $23,156
2023-02-27 $454,284,528,652 $24,469,102,669 $23,541 $23,518
2023-02-26 $447,030,240,436 $22,999,909,593 $23,157 $23,541
2023-02-25 $447,316,067,422 $35,081,974,267 $23,172 $23,157
2023-02-24 $461,042,830,140 $42,356,618,035 $23,951 $23,172
