Date Market_Cap Volume Open Close
2023-03-26 $211,355,889,911 $8,023,849,174  $1,753.98 N/A
2023-03-25 $212,072,713,258 $11,601,017,882 $1,751.22 $1,753.98
2023-03-24 $219,518,418,514 $10,980,967,035 $1,824.96 $1,751.22
2023-03-23 $210,285,658,211 $13,820,716,100 $1,747.64 $1,824.96
2023-03-22 $218,008,486,914 $10,831,022,955 $1,811.41 $1,747.64
2023-03-21 $209,763,828,560 $12,973,595,973 $1,744.44 $1,811.41
2023-03-20 $217,844,457,988 $10,745,813,975 $1,801.37 $1,744.44
2023-03-19 $213,123,927,233 $11,976,182,095 $1,769.43 $1,801.37
2023-03-18 $215,660,560,705 $14,459,727,611 $1,793.30 $1,769.43
2023-03-17 $202,411,234,958 $30,201,930,395 $1,679.79 $1,793.30
2023-03-16 $199,607,487,558 $17,257,648,020 $1,658.07 $1,679.79
2023-03-15 $205,738,833,553 $19,833,762,798 $1,708.30 $1,658.07
2023-03-14 $202,294,154,847 $65,211,714,925 $1,678.92 $1,708.30
2023-03-13 $190,440,681,263 $13,967,891,188 $1,588.20 $1,678.92
2023-03-12 $176,915,178,456 $18,345,198,261 $1,474.40 $1,588.20
2023-03-11 $172,474,466,356 $14,696,381,617 $1,429.60 $1,474.40
2023-03-10 $173,232,609,854 $10,861,201,441 $1,440.17 $1,429.60
2023-03-09 $185,138,878,803 $11,881,879,819 $1,535.26 $1,440.17
2023-03-08 $187,945,419,859 $8,523,808,477  $1,563.81 $1,535.26
2023-03-07 $188,803,304,808 $6,627,693,314  $1,567.35 $1,563.81
2023-03-06 $188,337,456,156 $62,172,854,406 $1,563.23 $1,567.35
2023-03-05 $189,002,414,069 $4,800,994,312  $1,568.50 $1,563.23
2023-03-04 $189,178,795,460 $11,179,316,252 $1,570.67 $1,568.50
2023-03-03 $198,520,753,674 $7,930,395,056  $1,647.66 $1,570.67
2023-03-02 $200,476,156,508 $8,672,222,866  $1,663.93 $1,647.66
2023-03-01 $193,276,888,984 $6,883,711,562  $1,606.63 $1,663.93
2023-02-28 $197,018,105,507 $7,916,573,299  $1,633.98 $1,606.63
2023-02-27 $197,696,596,339 $6,357,994,998  $1,640.58 $1,633.98
2023-02-26 $192,056,375,721 $6,117,521,125  $1,593.95 $1,640.58
2023-02-25 $193,773,223,390 $9,609,840,835  $1,608.10 $1,593.95
2023-02-24 $198,619,189,860 $9,698,749,202  $1,651.85 $1,608.10
