Date Market_Cap Volume Open Close
2023-03-26 $79,623,139,462 $24,400,779,908  $1.008    N/A
2023-03-25 $79,581,658,858 $34,121,646,701  $1.002    $1.008
2023-03-24 $78,372,882,682 $32,259,255,206  $1.005    $1.002
2023-03-23 $77,988,820,276 $51,748,798,674  $1.008    $1.005
2023-03-22 $77,315,279,271 $213,265,347,149 $1.007    $1.008
2023-03-21 $76,556,156,390 $121,830,035,515 $1.007    $1.007
2023-03-20 $76,308,294,900 $168,654,708,393 $1.006    $1.007
2023-03-19 $76,876,055,021 $190,650,640,694 $1.009    $1.006
2023-03-18 $76,389,447,100 $124,604,201,462 $1.005    $1.009
2023-03-17 $74,845,805,871 $55,711,184,031  $1.007    $1.005
2023-03-16 $74,750,701,092 $80,989,287,076  $1.007    $1.007
2023-03-15 $73,662,783,701 $88,711,070,851  $1.004    $1.007
2023-03-14 $73,224,130,980 $87,780,961,462  $1.004    $1.004
2023-03-13 $72,386,888,341 $52,711,790,163  $1.007    $1.004
2023-03-12 $72,265,947,202 $67,994,848,432  $1.003    $1.007
2023-03-11 $72,084,236,471 $66,020,694,288  $1.001    $1.003
2023-03-10 $71,814,779,750 $50,624,387,740  $1.002    $1.001
2023-03-09 $71,860,457,291 $35,716,759,862  $1.000    $1.002
2023-03-08 $71,688,065,512 $37,662,456,575  $1.001    $1.000
2023-03-07 $71,606,102,631 $27,019,419,680  $1.000    $1.001
2023-03-06 $71,463,081,677 $20,651,547,846  $1.000    $1.000
2023-03-05 $71,520,391,290 $19,021,734,087  $1.001    $1.000
2023-03-04 $71,194,848,065 $44,302,959,604  $1.001    $1.001
2023-03-03 $71,089,143,266 $34,398,789,164  $1.000    $1.001
2023-03-02 $71,094,389,016 $39,912,620,572  $0.999860 $1.000
2023-03-01 $70,926,090,373 $32,718,069,236  $0.998543 $0.999860
2023-02-28 $70,918,517,287 $35,987,227,108  $1.001    $0.998543
2023-02-27 $70,797,067,116 $30,368,284,335  $0.999806 $1.001
2023-02-26 $70,832,978,697 $30,555,751,037  $1.000    $0.999806
2023-02-25 $70,811,129,790 $49,594,083,161  $0.999823 $1.000
2023-02-24 $70,680,138,528 $49,981,035,028  $1.001    $0.999823
