Date Market_Cap Volume Open Close
2023-03-26 $22,901,966,241 $2,226,693,786 $0.449030 N/A
2023-03-25 $21,860,547,089 $1,705,300,122 $0.426800 $0.449030
2023-03-24 $22,838,007,730 $2,294,537,470 $0.448220 $0.426800
2023-03-23 $21,687,465,410 $4,517,426,408 $0.425218 $0.448220
2023-03-22 $23,963,597,177 $4,548,747,517 $0.470749 $0.425218
2023-03-21 $19,226,276,545 $1,313,128,523 $0.377235 $0.470749
2023-03-20 $19,979,252,277 $1,440,416,397 $0.389287 $0.377235
2023-03-19 $19,170,540,663 $1,097,398,135 $0.376413 $0.389287
2023-03-18 $19,395,225,307 $1,269,614,935 $0.380984 $0.376413
2023-03-17 $18,785,035,463 $814,391,191   $0.368343 $0.380984
2023-03-16 $18,449,948,264 $1,224,433,592 $0.362040 $0.368343
2023-03-15 $19,095,493,030 $1,673,162,184 $0.374893 $0.362040
2023-03-14 $19,067,422,017 $1,880,603,926 $0.374133 $0.374893
2023-03-13 $18,910,866,411 $1,204,499,052 $0.372470 $0.374133
2023-03-12 $18,618,245,861 $1,134,168,278 $0.366037 $0.372470
2023-03-11 $18,960,880,522 $1,600,399,582 $0.371984 $0.366037
2023-03-10 $19,038,584,759 $1,880,109,254 $0.373153 $0.371984
2023-03-09 $19,902,227,509 $2,057,330,076 $0.389546 $0.373153
2023-03-08 $19,403,006,997 $1,602,133,802 $0.380919 $0.389546
2023-03-07 $18,870,930,797 $1,262,642,327 $0.370950 $0.380919
2023-03-06 $18,772,296,579 $531,679,794   $0.368702 $0.370950
2023-03-05 $19,125,093,150 $593,218,722   $0.375483 $0.368702
2023-03-04 $19,357,672,478 $1,366,537,887 $0.379773 $0.375483
2023-03-03 $19,261,288,581 $909,585,578   $0.377828 $0.379773
2023-03-02 $19,594,492,701 $1,016,609,363 $0.384212 $0.377828
2023-03-01 $19,254,765,044 $1,097,670,874 $0.378408 $0.384212
2023-02-28 $19,332,749,633 $1,153,758,556 $0.379337 $0.378408
2023-02-27 $19,267,086,788 $540,159,354   $0.378009 $0.379337
2023-02-26 $19,283,599,327 $647,196,608   $0.378689 $0.378009
2023-02-25 $19,325,068,034 $1,058,056,428 $0.379095 $0.378689
2023-02-24 $19,815,369,081 $1,131,967,738 $0.389572 $0.379095
